prlName,prlLicensingActivityName,prlMainArea,prlStatus,prlStratigraphical,prlDateGranted,prlDateValidTo,prlOriginalArea,prlCurrentArea,prlPhaseCurrent,prlNpdidLicence,prlPartitionFrom,prlNPDIDPartitionFrom,prlAdditAreaTo,prlNPDIDAdditAreaTo,prlFactPageUrl,prlFactMapUrl,prlDateUpdated,prlDateUpdatedMax,DatesyncNPD
483 S,TFO2007,Norwegian sea,INACTIVE,YES OR PARTLY,29.02.2008,16.01.2011,471,0,,4921755,,,,,https://factpages.sodir.no/licence/pageview/all/4921755,,31.01.2025,16.04.2025,09.09.2025
484,TFO2007,Norwegian sea,INACTIVE,NO,29.02.2008,28.02.2015,172,0,,4921632,,,,,https://factpages.sodir.no/licence/pageview/all/4921632,,31.01.2025,16.04.2025,09.09.2025
485,TFO2007,Norwegian sea,INACTIVE,NO,29.02.2008,28.02.2011,139,0,,4921710,,,,,https://factpages.sodir.no/licence/pageview/all/4921710,,31.01.2025,16.04.2025,09.09.2025
486 S,TFO2007,Norwegian sea,INACTIVE,YES OR PARTLY,29.02.2008,01.03.2010,621,0,,4921823,,,,,https://factpages.sodir.no/licence/pageview/all/4921823,,31.01.2025,16.04.2025,09.09.2025
487 S,TFO2007,Norwegian sea,INACTIVE,YES OR PARTLY,29.02.2008,01.03.2010,328,0,,4921153,,,,,https://factpages.sodir.no/licence/pageview/all/4921153,,31.01.2025,16.04.2025,09.09.2025
488,TFO2007,Barents sea,INACTIVE,NO,29.02.2008,19.11.2012,651,0,,4921192,,,,,https://factpages.sodir.no/licence/pageview/all/4921192,,31.01.2025,16.04.2025,09.09.2025
489,TFO2007,Barents sea,ACTIVE,NO,29.02.2008,28.02.2048,268,83,PRODUCTION,4921522,,,,,https://factpages.sodir.no/licence/pageview/all/4921522,https://factmaps.sodir.no/map/redirect/LicActive.ashx?id=4921522,31.01.2025,16.04.2025,09.09.2025
490,TFO2007,Barents sea,INACTIVE,NO,29.02.2008,29.05.2015,331,0,,4921353,,,,,https://factpages.sodir.no/licence/pageview/all/4921353,,31.01.2025,16.04.2025,09.09.2025
491,TFO2007,Barents sea,INACTIVE,NO,29.02.2008,01.03.2011,151,0,,4921667,,,,,https://factpages.sodir.no/licence/pageview/all/4921667,,31.01.2025,16.04.2025,09.09.2025
492,TFO2007,Barents sea,ACTIVE,NO,29.02.2008,28.02.2043,220,60,PRODUCTION,4925088,,,,,https://factpages.sodir.no/licence/pageview/all/4925088,https://factmaps.sodir.no/map/redirect/LicActive.ashx?id=4925088,31.01.2025,16.04.2025,09.09.2025
493,TFO2008,North sea,INACTIVE,NO,23.01.2009,23.01.2012,119,0,,5105835,,,,,https://factpages.sodir.no/licence/pageview/all/5105835,,31.01.2025,31.01.2025,09.09.2025
494,TFO2008,North sea,INACTIVE,NO,23.01.2009,23.01.2016,215,0,,5105899,,,,,https://factpages.sodir.no/licence/pageview/all/5105899,,31.01.2025,07.05.2025,09.09.2025
494 B,TFO2010,North sea,INACTIVE,NO,04.02.2011,23.01.2016,23,0,,20088555,,,494,5105899,https://factpages.sodir.no/licence/pageview/all/20088555,,31.01.2025,31.01.2025,09.09.2025
494 C,TFO2011,North sea,INACTIVE,NO,03.02.2012,23.01.2016,4,0,,21569178,,,494,5105899,https://factpages.sodir.no/licence/pageview/all/21569178,,31.01.2025,31.01.2025,09.09.2025
495,TFO2008,North sea,INACTIVE,NO,23.01.2009,23.07.2014,1165,0,,5105968,,,,,https://factpages.sodir.no/licence/pageview/all/5105968,,31.01.2025,07.05.2025,09.09.2025
495 B,TFO2011,North sea,INACTIVE,NO,03.02.2012,23.07.2014,100,0,,21560089,,,495,5105968,https://factpages.sodir.no/licence/pageview/all/21560089,,31.01.2025,31.01.2025,09.09.2025
496,TFO2008,North sea,INACTIVE,NO,23.01.2009,08.03.2011,10,0,,5106035,,,,,https://factpages.sodir.no/licence/pageview/all/5106035,,31.01.2025,31.01.2025,09.09.2025
497,TFO2008,North sea,INACTIVE,NO,23.01.2009,23.01.2014,48,0,,5106073,,,,,https://factpages.sodir.no/licence/pageview/all/5106073,,31.01.2025,07.05.2025,09.09.2025
497 B,TFO2009,North sea,INACTIVE,NO,19.02.2010,23.01.2014,22,0,,17320202,,,497,5106073,https://factpages.sodir.no/licence/pageview/all/17320202,,31.01.2025,31.01.2025,09.09.2025
498,TFO2008,North sea,INACTIVE,NO,23.01.2009,23.01.2015,278,0,,5106134,,,,,https://factpages.sodir.no/licence/pageview/all/5106134,,31.01.2025,07.05.2025,09.09.2025
498 B,TFO2013,North sea,INACTIVE,NO,07.02.2014,07.02.2016,15,0,,24214458,,,498,5106134,https://factpages.sodir.no/licence/pageview/all/24214458,,31.01.2025,31.01.2025,09.09.2025
499 S,TFO2008,North sea,INACTIVE,YES OR PARTLY,23.01.2009,23.07.2011,686,0,,5106238,,,,,https://factpages.sodir.no/licence/pageview/all/5106238,,31.01.2025,31.01.2025,09.09.2025
500,TFO2008,North sea,INACTIVE,NO,23.01.2009,23.07.2013,34,0,,5106274,,,,,https://factpages.sodir.no/licence/pageview/all/5106274,,31.01.2025,31.01.2025,09.09.2025
